Rank,Ticker,Name,Market Cap,Market Cap (fmt),Price,Currency,Exchange,Country,Sector,Industry,P/E Ratio,Revenue,Revenue (fmt),Employees,Type,Website
1,000270.KS,Kia Corporation,62068367556608,$62.07T,159700.0,KRW,KSC,South Korea,Consumer Cyclical,Auto Manufacturers,,115625292726272.0,$115.63T,,EQUITY,https://www.kia.com
2,6758.T,Sony Group Corporation,19934235066368,$19.93T,3385.0,JPY,JPX,Japan,Technology,Consumer Electronics,19.74,12479619923968.0,$12.48T,,EQUITY,https://www.sony.com
3,6861.T,Keyence Corporation,17677657571328,$17.68T,72890.0,JPY,JPX,Japan,Technology,Scientific & Technical Instruments,39.63,1169288986624.0,$1.17T,,EQUITY,https://www.keyence.com
4,6981.T,"Murata Manufacturing Co., Ltd.",15745514733568,$15.75T,8650.0,JPY,JPX,Japan,Technology,Electronic Components,67.62,1830856032256.0,$1.83T,74302.0,EQUITY,https://www.murata.com
5,6954.T,Fanuc Corporation,6310950076416,$6.31T,6763.0,JPY,JPX,Japan,Industrials,Specialty Industrial Machinery,37.84,857830981632.0,$857.83B,,EQUITY,https://www.fanuc.co.jp
6,NVDA,NVIDIA Corporation,4881379229696,$4.88T,201.52,USD,NMS,United States,Technology,Semiconductors,30.82,253491003392.0,$253.49B,42000.0,EQUITY,https://www.nvidia.com
7,GOOGL,Alphabet Inc.,4338347933696,$4.34T,355.75,USD,NMS,United States,Communication Services,Internet Content & Information,27.14,422498009088.0,$422.50B,194668.0,EQUITY,https://abc.xyz
8,MSFT,Microsoft Corporation,2973268180992,$2.97T,400.26,USD,NMS,United States,Technology,Software - Infrastructure,23.85,318272995328.0,$318.27B,228000.0,EQUITY,https://www.microsoft.com
9,AMZN,"Amazon.com, Inc.",2563795845120,$2.56T,238.335,USD,NMS,United States,Consumer Cyclical,Internet Retail,30.87,742775980032.0,$742.78B,1575000.0,EQUITY,https://www.amazon.com
10,6383.T,"Daifuku Co., Ltd.",2341576376320,$2.34T,6368.0,JPY,JPX,Japan,Industrials,Specialty Industrial Machinery,31.48,673177993216.0,$673.18B,11417.0,EQUITY,https://www.daifuku.com
11,AVGO,Broadcom Inc.,1781999206400,$1.78T,374.61,USD,NMS,United States,Technology,Semiconductors,62.43,75464998912.0,$75.46B,33000.0,EQUITY,https://www.broadcom.com
